time_s,force_N,accel_x_g,accel_y_g,accel_z_g
0.00976562,0.01916675,0.01095749,0.00307655,0.02439195
0.00986328,0.24934550,0.00013991,-0.01028942,0.02095602
0.00996094,-0.06328719,0.02765929,-0.01831160,0.02414384
0.01005859,-0.03841455,0.01858894,-0.00808913,-0.00129603
0.01015625,-0.25251325,0.00986840,-0.02480202,0.03544235
0.01025391,0.25536588,-0.03968277,0.00417006,0.01543455
0.01035156,0.16464986,0.00223222,-0.00102393,0.00560792
0.01044922,0.15752721,-0.01013753,-0.01162160,0.05684355
0.01054688,0.12033477,0.03040542,-0.03270424,-0.01934524
0.01064453,0.03652229,0.02659301,0.00452518,0.01500550
0.01074219,0.05232334,0.00760039,0.00152423,0.02809161
0.01083984,-0.01780099,-0.01875611,-0.03804014,0.03286247
0.01093750,-0.01054006,0.01186675,0.01639406,0.03720739
0.01103516,0.02814554,0.00096608,0.00678087,-0.03012829
0.01113281,0.24677443,-0.00609737,-0.00291984,0.02740795
0.01123047,0.10335319,-0.02162168,-0.02266920,-0.03615380
0.01132812,0.01123098,-0.00490779,-0.00466765,0.01895857
0.01142578,-0.06690881,0.01301790,-0.01299255,0.00235505
0.01152344,-0.07524977,0.01952907,-0.01581376,-0.01697059
0.01162109,0.26040575,0.02664806,-0.01333457,0.00058472
0.01171875,0.09600310,0.06094542,-0.01101221,0.03015689
0.01181641,0.03013258,0.01413077,-0.01466697,0.02558530
0.01191406,-0.03192728,-0.00191074,0.00287817,0.00859078
0.01201172,-0.14635801,0.00662276,0.00931422,0.00004521
0.01210938,0.00997077,0.01903572,0.00298813,-0.01687388
0.01220703,0.15104871,0.05522708,-0.00677150,0.00345765
0.01230469,-0.03888059,0.04207919,-0.04768537,0.02060179
0.01240234,-0.01408639,0.02637208,0.00880067,0.00447979
0.01250000,-0.01315515,0.01853732,-0.01184258,0.03856077
0.01259766,0.03643916,0.00690393,-0.00050552,0.02552177
0.01269531,-0.21895163,-0.00907590,-0.02097292,0.03305799
0.01279297,-0.01530975,-0.00343648,-0.01942543,0.02065055
0.01289062,-0.10815933,-0.00517157,0.00650938,0.00661973
0.01298828,0.15268775,-0.02078718,-0.00669605,0.00050533
0.01308594,-0.09558980,0.00742944,-0.02195654,0.02007526
0.01318359,0.10655701,0.01546368,0.00408524,0.02289511
0.01328125,0.24866562,0.04251435,-0.01644751,0.03457780
0.01337891,-0.02703944,0.01825807,-0.01074274,0.08024929
0.01347656,-0.07023644,-0.00416802,-0.02221868,0.00848562
0.01357422,0.04871484,0.01755208,0.00583466,-0.00134922
0.01367188,0.01969565,0.00146933,0.02270368,0.01829947
0.01376953,-0.12904245,0.02226459,-0.00587033,-0.03153205
